,policy_id,auto_year,num_insurers_past_5_years,policy_state_or,collision_type_side,num_witnesses,collision_type_na,total_claim_amount,driver_relationship_self,injury_claim,incident_month,driver_relationship_child,incident_dow,incident_type_breakin,num_injuries,policy_deductable,num_claims_past_year,authorities_contacted_ambulance,driver_relationship_spouse,collision_type_front,incident_severity,incident_day,incident_type_collision,incident_type_theft,policy_state_wa,months_as_customer,fraud,driver_relationship_na,policy_liability,police_report_available,customer_gender_male,num_vehicles_involved,vehicle_claim,policy_state_ca,policy_state_id,policy_state_az,policy_annual_premium,customer_gender_female,incident_hour,authorities_contacted_police,authorities_contacted_none,collision_type_rear,authorities_contacted_fire,policy_state_nv,customer_age,customer_education,driver_relationship_other
0,1684,2014,2,0,0,2,0,7500.0,1,0.0,12,0,1,0,0,750,0,0,0,0,0,31,1,0,1,39,0,0,3,0,0,2,7500.0,0,0,0,2600,1,9,0,1,1,0,0,31,4,0
1,1744,2013,1,0,0,0,0,10500.0,1,0.0,10,0,2,0,0,750,0,0,0,1,1,9,1,0,0,117,0,0,1,0,0,2,10500.0,0,1,0,3000,1,9,1,0,0,0,0,47,3,0
2,92,2019,1,0,0,1,0,46500.0,1,25000.0,11,0,2,0,1,750,0,0,0,1,1,20,1,0,0,158,0,0,1,0,0,2,21500.0,1,0,0,3000,1,12,1,0,0,0,0,52,1,0
3,3435,2017,2,0,0,0,1,19000.0,0,0.0,7,0,1,1,0,750,0,0,0,0,0,9,0,0,0,47,0,1,0,0,1,1,19000.0,1,0,0,3000,0,8,1,0,0,0,0,29,3,0
4,120,2015,5,0,0,0,1,8500.0,0,0.0,12,0,6,1,0,750,0,0,0,0,0,22,0,0,0,5,0,1,0,0,0,1,8500.0,1,0,0,3000,1,7,0,1,0,0,0,19,1,0
5,3454,2014,1,0,0,2,0,8500.0,1,0.0,10,0,3,0,0,750,0,0,0,0,0,3,1,0,0,146,0,0,0,0,0,2,8500.0,1,0,0,3000,1,9,0,1,1,0,0,65,3,0
6,1795,2020,3,0,0,1,0,18000.0,1,0.0,11,0,5,0,0,750,1,0,0,0,1,16,1,0,0,7,0,0,2,1,1,4,18000.0,1,0,0,3000,0,1,1,0,1,0,0,26,4,0
7,1801,2018,1,0,0,0,0,14000.0,1,0.0,1,0,3,0,0,750,0,0,0,1,0,24,1,0,0,40,0,0,1,0,1,1,14000.0,1,0,0,3000,0,8,0,1,0,0,0,45,3,0
8,3499,2016,1,0,0,0,0,37000.0,1,10000.0,5,0,4,0,3,750,0,0,0,1,2,31,1,0,0,139,0,0,1,0,1,2,27000.0,0,0,0,2550,0,11,0,0,0,1,1,63,3,0
9,1844,2017,1,0,0,0,0,16500.0,1,0.0,8,0,1,0,0,750,0,0,0,0,0,13,1,0,0,113,0,0,0,0,1,2,16500.0,1,0,0,3000,0,16,0,1,1,0,0,49,3,0
10,204,2009,1,0,0,0,0,5500.0,1,0.0,2,0,0,0,0,750,0,0,0,0,0,11,1,0,1,80,0,0,1,0,1,2,5500.0,0,0,0,3000,0,21,1,0,1,0,0,31,0,0
11,3549,2010,1,0,1,2,0,32000.0,1,14500.0,6,0,2,0,1,750,0,0,0,0,2,12,1,0,0,95,0,0,0,1,1,3,17500.0,1,0,0,3000,0,5,1,0,0,0,0,50,4,0
12,3617,2017,2,1,0,0,0,8000.0,1,0.0,1,0,0,0,0,750,0,0,0,0,0,14,1,0,0,55,0,0,1,0,1,1,8000.0,0,0,0,3000,0,8,0,1,1,0,0,54,1,0
13,290,2016,2,0,0,0,1,10000.0,0,0.0,9,0,4,1,0,750,0,0,0,0,0,27,0,0,0,12,1,1,1,0,1,1,10000.0,1,0,0,3000,0,17,0,1,0,0,0,46,3,0
14,307,2015,1,0,0,2,0,32500.0,1,0.0,5,0,2,0,0,750,0,0,0,1,2,15,1,0,0,13,0,0,0,1,1,4,32500.0,1,0,0,3000,0,12,1,0,0,0,0,74,1,0
15,3659,2018,1,1,0,0,0,20500.0,1,0.0,12,0,4,0,0,750,0,0,0,0,1,6,1,0,0,169,0,0,3,0,1,2,20500.0,0,0,0,3000,0,4,1,0,1,0,0,67,3,0
16,3663,2009,1,0,1,1,0,3000.0,0,0.0,6,0,1,0,0,750,0,0,1,0,0,4,1,0,0,72,0,0,0,0,1,2,3000.0,1,0,0,3000,0,5,0,1,0,0,0,42,3,0
17,3667,2018,1,0,1,2,0,60000.0,0,25000.0,9,0,5,0,1,750,7,0,1,0,2,7,1,0,0,153,0,0,1,1,1,3,35000.0,0,1,0,3000,0,19,1,0,0,0,0,65,3,0
18,3738,2017,1,0,0,1,1,19500.0,0,0.0,1,0,1,1,0,750,0,0,0,0,0,29,0,0,0,82,0,1,0,0,0,1,19500.0,1,0,0,3000,1,13,1,0,0,0,0,62,3,0
19,2132,2019,3,0,0,0,0,12000.0,1,0.0,9,0,3,0,0,750,0,0,0,1,0,19,1,0,0,16,0,0,1,0,1,1,12000.0,1,0,0,3000,0,10,0,1,0,0,0,60,2,0
20,467,2012,3,0,0,1,0,8000.0,1,0.0,12,0,5,0,0,750,1,0,0,1,0,28,1,0,0,44,0,0,2,1,1,2,8000.0,1,0,0,3000,0,11,1,0,0,0,0,55,3,0
21,468,2020,1,0,0,0,0,11500.0,1,0.0,10,0,3,0,0,750,0,0,0,1,1,3,1,0,0,108,0,0,1,0,1,2,11500.0,1,0,0,3000,0,14,1,0,0,0,0,73,3,0
22,3808,2015,1,0,0,0,1,16500.0,0,0.0,6,0,2,0,0,750,0,0,0,0,1,12,0,1,0,87,0,1,2,0,1,1,16500.0,1,0,0,3000,0,16,1,0,0,0,0,25,3,0
23,3810,2017,1,0,0,0,1,5500.0,0,0.0,11,0,4,1,0,750,0,0,0,0,0,29,0,0,0,11,0,1,1,0,0,1,5500.0,1,0,0,3000,1,19,0,1,0,0,0,35,3,0
24,3865,2016,2,0,0,1,0,12500.0,0,0.0,9,1,3,0,0,750,1,0,0,0,0,12,1,0,0,46,0,0,0,0,1,2,12500.0,1,0,0,3000,0,18,0,1,1,0,0,24,2,0
