fraud,auto_year,num_insurers_past_5_years,policy_state_or,collision_type_side,num_witnesses,collision_type_na,total_claim_amount,driver_relationship_self,injury_claim,incident_month,driver_relationship_child,incident_dow,incident_type_breakin,num_injuries,policy_deductable,num_claims_past_year,authorities_contacted_ambulance,driver_relationship_spouse,collision_type_front,incident_severity,incident_day,incident_type_collision,incident_type_theft,policy_state_wa,months_as_customer,driver_relationship_na,policy_liability,police_report_available,customer_gender_male,num_vehicles_involved,vehicle_claim,policy_state_ca,policy_state_id,policy_state_az,policy_annual_premium,customer_gender_female,incident_hour,authorities_contacted_police,authorities_contacted_none,collision_type_rear,authorities_contacted_fire,policy_state_nv,customer_age,customer_education,driver_relationship_other
0,2020,2,0,1,0,0,14500.0,1,0.0,7,0,3,0,0,750,0,0,0,0,1,18,1,0,0,27,0,1,1,1,2,14500.0,1,0,0,3000,0,12,1,0,0,0,0,23,4,0
0,2018,1,0,1,0,0,16500.0,1,0.0,6,0,1,0,0,750,0,0,0,0,1,18,1,0,0,130,0,0,0,0,2,16500.0,1,0,0,2450,1,12,1,0,0,0,0,67,3,0
0,2016,1,0,0,0,1,18500.0,0,0.0,8,0,6,0,0,750,0,0,0,0,1,11,0,1,0,248,1,3,0,1,1,18500.0,1,0,0,3000,0,14,1,0,0,0,0,53,0,0
0,2017,1,0,0,0,0,45500.0,1,11500.0,2,0,1,0,3,750,0,0,0,1,2,26,1,0,0,141,0,1,1,1,2,34000.0,1,0,0,3000,0,8,1,0,0,0,0,58,1,0
0,2011,1,0,0,1,0,56000.0,1,48500.0,8,0,1,0,2,750,0,0,0,0,1,27,1,0,0,245,0,2,1,1,2,7500.0,1,0,0,2750,0,9,1,0,1,0,0,47,3,0
0,2019,2,0,0,2,0,13000.0,0,0.0,2,0,6,0,0,750,0,0,1,1,0,24,1,0,0,3,0,3,0,1,2,13000.0,0,1,0,3000,0,16,0,1,0,0,0,18,1,0
0,2014,1,1,1,1,0,13500.0,1,0.0,5,0,4,0,0,750,0,0,0,0,0,24,1,0,0,86,0,2,0,1,2,13500.0,0,0,0,3000,0,3,0,1,0,0,0,44,3,0
0,2016,1,0,0,0,0,36500.0,1,0.0,9,0,0,0,0,750,0,0,0,1,2,16,1,0,0,184,0,2,1,1,3,36500.0,1,0,0,3000,0,6,1,0,0,0,0,55,2,0
0,2019,1,0,0,0,1,17500.0,0,0.0,4,0,3,1,0,750,0,0,0,0,0,25,0,0,1,183,1,1,1,1,1,17500.0,0,0,0,2600,0,12,1,0,0,0,0,59,2,0
0,2020,1,0,0,2,0,40500.0,1,20000.0,7,0,6,0,1,750,0,0,0,1,1,7,1,0,0,240,0,1,0,1,2,20500.0,1,0,0,3000,0,8,1,0,0,0,0,66,0,0
0,2017,1,0,0,1,0,13000.0,1,0.0,10,0,2,0,0,750,0,0,0,0,1,16,1,0,0,54,0,0,0,0,2,13000.0,1,0,0,3000,1,19,1,0,1,0,0,47,4,0
0,2015,2,0,0,2,0,9000.0,1,0.0,10,0,1,0,0,750,0,0,0,1,0,15,1,0,1,43,0,2,0,1,2,9000.0,0,0,0,3000,0,9,0,1,0,0,0,29,1,0
0,2012,2,0,0,1,0,4000.0,0,0.0,11,0,5,0,0,750,0,0,1,1,0,16,1,0,1,43,0,1,0,1,2,4000.0,0,0,0,3000,0,0,0,1,0,0,0,22,3,0
0,2013,4,0,0,0,1,7500.0,0,0.0,10,0,0,1,0,750,0,0,0,0,0,14,0,0,0,24,1,1,0,1,1,7500.0,0,0,1,3000,0,17,0,1,0,0,0,22,1,0
0,2015,2,0,0,0,0,15000.0,1,0.0,12,0,5,0,0,750,0,0,0,1,0,21,1,0,0,12,0,0,0,1,2,15000.0,1,0,0,2600,0,15,0,1,0,0,0,28,3,0
0,2013,1,0,1,0,0,11500.0,1,0.0,10,0,1,0,0,750,0,0,0,0,0,29,1,0,1,105,0,3,0,1,2,11500.0,0,0,0,3000,0,8,0,1,0,0,0,71,3,0
0,2016,1,0,0,0,0,17000.0,1,0.0,1,0,2,0,0,750,0,0,0,1,1,23,1,0,0,52,0,1,1,1,2,17000.0,1,0,0,3000,0,14,1,0,0,0,0,51,1,0
0,2016,1,0,0,0,0,14000.0,1,0.0,9,0,3,0,0,750,0,0,0,0,0,19,1,0,0,62,0,2,1,0,2,14000.0,1,0,0,3000,1,5,1,0,1,0,0,32,1,0
0,2020,1,0,0,0,0,49000.0,1,19000.0,1,0,2,0,3,750,0,0,0,0,1,16,1,0,0,154,0,3,1,0,3,30000.0,1,0,0,3000,1,11,1,0,1,0,0,61,1,0
0,2019,5,0,1,2,0,51000.0,1,13500.0,5,0,2,0,1,750,0,0,0,0,2,1,1,0,0,18,0,3,1,0,3,37500.0,1,0,0,3000,1,15,1,0,0,0,0,34,4,0
0,2016,1,0,0,0,0,17500.0,1,3000.0,5,0,4,0,2,750,0,0,0,1,1,10,1,0,0,176,0,3,0,0,2,14500.0,1,0,0,3000,1,17,1,0,0,0,0,59,3,0
0,2019,2,0,0,1,0,8500.0,1,0.0,12,0,4,0,0,750,0,0,0,1,0,20,1,0,1,57,0,2,0,0,2,8500.0,0,0,0,3000,1,12,0,1,0,0,0,49,3,0
0,2016,1,0,0,1,0,59500.0,1,25000.0,8,0,4,0,1,750,0,0,0,0,2,2,1,0,0,63,0,1,1,0,3,34500.0,1,0,0,3000,1,15,1,0,1,0,0,36,3,0
0,2007,1,1,0,1,0,25000.0,1,5500.0,10,0,0,0,1,750,0,0,0,1,2,21,1,0,0,159,0,2,1,1,3,19500.0,0,0,0,3000,0,21,1,0,0,0,0,66,4,0
